No;Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan;
1;Karyawan 1;1000000001;Laki-laki;Tangerang;Marketing;Director;
2;Karyawan 2;1000000002;Laki-laki;Jakarta;Finance;Staff;
3;Karyawan 3;1000000003;Perempuan;Depok;IT;Staff;
4;Karyawan 4;1000000004;Laki-laki;Depok;HR;Manager;
5;Karyawan 5;1000000005;Perempuan;Tangerang;Marketing;Manager;
6;Karyawan 6;1000000006;Laki-laki;Bekasi;IT;Staff;
7;Karyawan 7;1000000007;Perempuan;Bogor;Finance;Supervisor;
8;Karyawan 8;1000000008;Laki-laki;Bogor;IT;Senior Manager;
9;Karyawan 9;1000000009;Laki-laki;Bogor;Finance;Senior Manager;
10;Karyawan 10;1000000010;Laki-laki;Bogor;IT;Supervisor;
11;Karyawan 11;1000000011;Laki-laki;Bogor;Finance;Senior Manager;
12;Karyawan 12;1000000012;Laki-laki;Jakarta;Operations;Manager;
13;Karyawan 13;1000000013;Perempuan;Bogor;IT;Staff;
14;Karyawan 14;1000000014;Perempuan;Bogor;Finance;Staff;
15;Karyawan 15;1000000015;Laki-laki;Tangerang;Marketing;Director;
16;Karyawan 16;1000000016;Laki-laki;Depok;HR;Staff;
17;Karyawan 17;1000000017;Laki-laki;Depok;HR;Director;
18;Karyawan 18;1000000018;Perempuan;Tangerang;Finance;Supervisor;
19;Karyawan 19;1000000019;Laki-laki;Bogor;Operations;Senior Manager;
20;Karyawan 20;1000000020;Laki-laki;Depok;Finance;Manager;
21;Karyawan 21;1000000021;Laki-laki;Jakarta;Operations;Senior Manager;
22;Karyawan 22;1000000022;Perempuan;Bogor;Marketing;Manager;
23;Karyawan 23;1000000023;Laki-laki;Bekasi;HR;Supervisor;
24;Karyawan 24;1000000024;Laki-laki;Bogor;HR;Staff;
25;Karyawan 25;1000000025;Laki-laki;Depok;Finance;Supervisor;
26;Karyawan 26;1000000026;Laki-laki;Tangerang;Finance;Supervisor;
27;Karyawan 27;1000000027;Laki-laki;Bekasi;Marketing;Supervisor;
28;Karyawan 28;1000000028;Laki-laki;Tangerang;Marketing;Director;
29;Karyawan 29;1000000029;Laki-laki;Bekasi;IT;Director;
30;Karyawan 30;1000000030;Perempuan;Bekasi;Operations;Manager;
31;Karyawan 31;1000000031;Perempuan;Jakarta;HR;Manager;
32;Karyawan 32;1000000032;Perempuan;Bogor;IT;Supervisor;
33;Karyawan 33;1000000033;Laki-laki;Jakarta;IT;Supervisor;
34;Karyawan 34;1000000034;Perempuan;Jakarta;HR;Manager;
35;Karyawan 35;1000000035;Perempuan;Bogor;Marketing;Manager;
36;Karyawan 36;1000000036;Laki-laki;Tangerang;IT;Manager;
37;Karyawan 37;1000000037;Laki-laki;Jakarta;Marketing;Supervisor;
38;Karyawan 38;1000000038;Perempuan;Depok;Marketing;Supervisor;
39;Karyawan 39;1000000039;Laki-laki;Bekasi;HR;Manager;
40;Karyawan 40;1000000040;Laki-laki;Bekasi;Finance;Manager;
