Nama;NIK;Jenis Kelamin;Alamat;Divisi;Jabatan
Karyawan 1;1000000001;Laki-laki;Tangerang;Marketing;Director
Karyawan 2;1000000002;Laki-laki;Jakarta;Finance;Staff
Karyawan 3;1000000003;Perempuan;Depok;IT;Staff
Karyawan 4;1000000004;Laki-laki;Depok;HR;Manager
Karyawan 5;1000000005;Perempuan;Tangerang;Marketing;Manager
Karyawan 6;1000000006;Laki-laki;Bekasi;IT;Staff
Karyawan 7;1000000007;Perempuan;Bogor;Finance;Supervisor
Karyawan 8;1000000008;Laki-laki;Bogor;IT;Senior Manager
Karyawan 9;1000000009;Laki-laki;Bogor;Finance;Senior Manager
Karyawan 10;1000000010;Laki-laki;Bogor;IT;Supervisor
Karyawan 11;1000000011;Laki-laki;Bogor;Finance;Senior Manager
Karyawan 12;1000000012;Laki-laki;Jakarta;Operations;Manager
Karyawan 13;1000000013;Perempuan;Bogor;IT;Staff
Karyawan 14;1000000014;Perempuan;Bogor;Finance;Staff
Karyawan 15;1000000015;Laki-laki;Tangerang;Marketing;Director
Karyawan 16;1000000016;Laki-laki;Depok;HR;Staff
Karyawan 17;1000000017;Laki-laki;Depok;HR;Director
Karyawan 18;1000000018;Perempuan;Tangerang;Finance;Supervisor
Karyawan 19;1000000019;Laki-laki;Bogor;Operations;Senior Manager
Karyawan 20;1000000020;Laki-laki;Depok;Finance;Manager
Karyawan 21;1000000021;Laki-laki;Jakarta;Operations;Senior Manager
Karyawan 22;1000000022;Perempuan;Bogor;Marketing;Manager
Karyawan 23;1000000023;Laki-laki;Bekasi;HR;Supervisor
Karyawan 24;1000000024;Laki-laki;Bogor;HR;Staff
Karyawan 25;1000000025;Laki-laki;Depok;Finance;Supervisor
Karyawan 26;1000000026;Laki-laki;Tangerang;Finance;Supervisor
Karyawan 27;1000000027;Laki-laki;Bekasi;Marketing;Supervisor
Karyawan 28;1000000028;Laki-laki;Tangerang;Marketing;Director
Karyawan 29;1000000029;Laki-laki;Bekasi;IT;Director
Karyawan 30;1000000030;Perempuan;Bekasi;Operations;Manager
Karyawan 31;1000000031;Perempuan;Jakarta;HR;Manager
Karyawan 32;1000000032;Perempuan;Bogor;IT;Supervisor
Karyawan 33;1000000033;Laki-laki;Jakarta;IT;Supervisor
Karyawan 34;1000000034;Perempuan;Jakarta;HR;Manager
Karyawan 35;1000000035;Perempuan;Bogor;Marketing;Manager
Karyawan 36;1000000036;Laki-laki;Tangerang;IT;Manager
Karyawan 37;1000000037;Laki-laki;Jakarta;Marketing;Supervisor
Karyawan 38;1000000038;Perempuan;Depok;Marketing;Supervisor
Karyawan 39;1000000039;Laki-laki;Bekasi;HR;Manager
Karyawan 40;1000000040;Laki-laki;Bekasi;Finance;Manager
Karyawan 41;1000000041;Perempuan;Bogor;HR;Staff
Karyawan 42;1000000042;Laki-laki;Jakarta;Finance;Manager
Karyawan 43;1000000043;Perempuan;Bekasi;Marketing;Staff
Karyawan 44;1000000044;Laki-laki;Jakarta;Marketing;Staff
Karyawan 45;1000000045;Perempuan;Tangerang;IT;Manager
Karyawan 46;1000000046;Perempuan;Jakarta;HR;Senior Manager
